fname,tcount,t,M,r_h,rc_spitzer,N,rv,rg,Z,[Fe/H],logM,rc/rh,logM_norm,rc/rh_norm
N1.6e6_rv1_rg2_Z0.02.tar.gz,1085411,12722.208440955998,447099.51822997996,3.6000758000000004,0.42944511,1600000,1.0,2.0,0.02,0.0,5.650404201896271,0.1192877966625036,2.1162370575574347,1.0236398755319875
N1.6e6_rv1_rg2_Z0.02.tar.gz,1091029,13111.092238454,443669.76127390005,3.6322395,0.46395864,1600000,1.0,2.0,0.02,0.0,5.647059829980012,0.12773349334480835,2.1108871554662687,1.1431957450521675
N1.6e6_rv1_rg2_Z0.02.tar.gz,1095362,13499.952270181999,440287.56273964,3.6623165,0.3922565,1600000,1.0,2.0,0.02,0.0,5.6437364176652185,0.10710611712559523,2.1055707818876352,0.8511980576411488
N1.6e6_rv1_rg8_Z0.0002.tar.gz,1370993,10000.012101996,484069.12196216,5.4039137,0.70472586,1600000,1.0,8.0,0.0002,-2.0,5.684907380535655,0.13041027283614837,2.1714308673898066,1.1810877877857704
N1.6e6_rv1_rg8_Z0.0002.tar.gz,1385895,10388.887644016,481904.12208959996,5.446381,1.0663873,1600000,1.0,8.0,0.0002,-2.0,5.682960641165518,0.19579741116165028,2.168316720611865,2.1066971805929415
N1.6e6_rv1_rg8_Z0.0002.tar.gz,1403219,10777.781448153999,479807.47592512,5.466982499999999,1.0145049000000002,1600000,1.0,8.0,0.0002,-2.0,5.681067010467436,0.18556944347270185,2.165287530352759,1.9619117808237851
N1.6e6_rv1_rg8_Z0.0002.tar.gz,1417744,11166.672000134002,477913.55226426,5.496440799999999,1.065752,1600000,1.0,8.0,0.0002,-2.0,5.679349346047335,0.19389856796056099,2.162539828630846,2.079817473858463
N1.6e6_rv1_rg8_Z0.0002.tar.gz,1430748,11555.511768415998,476055.08636168,5.5248873,1.1895495,1600000,1.0,8.0,0.0002,-2.0,5.677657209692542,0.2153074688057438,2.1598329634705946,2.382878293148821
N1.6e6_rv1_rg8_Z0.0002.tar.gz,1446930,11944.412327035998,474400.1580836,5.546562799999999,1.0193169,1600000,1.0,8.0,0.0002,-2.0,5.676144825075481,0.18377451707569237,2.1574136423460124,1.9365031029856614
N1.6e6_rv1_rg8_Z0.0002.tar.gz,1460284,12333.344906904,472662.67940878,5.566592,1.2160393999999999,1600000,1.0,8.0,0.0002,-2.0,5.674551312548961,0.21845312176642367,2.154864543079725,2.427407630285776
